DateRep,Day,Month,Year,Cases,Deaths,Countries and territories,GeoId
24/03/2020,24,3,2020,71,2,Greece,GR
23/03/2020,23,3,2020,94,2,Greece,GR
22/03/2020,22,3,2020,35,5,Greece,GR
21/03/2020,21,3,2020,31,3,Greece,GR
20/03/2020,20,3,2020,46,0,Greece,GR
19/03/2020,19,3,2020,31,0,Greece,GR
18/03/2020,18,3,2020,35,1,Greece,GR
17/03/2020,17,3,2020,21,0,Greece,GR
16/03/2020,16,3,2020,103,1,Greece,GR
15/03/2020,15,3,2020,38,2,Greece,GR
14/03/2020,14,3,2020,57,0,Greece,GR
13/03/2020,13,3,2020,34,0,Greece,GR
12/03/2020,12,3,2020,9,1,Greece,GR
11/03/2020,11,3,2020,6,0,Greece,GR
10/03/2020,10,3,2020,11,0,Greece,GR
09/03/2020,9,3,2020,7,0,Greece,GR
08/03/2020,8,3,2020,21,0,Greece,GR
07/03/2020,7,3,2020,13,0,Greece,GR
06/03/2020,6,3,2020,22,0,Greece,GR
05/03/2020,5,3,2020,3,0,Greece,GR
02/03/2020,2,3,2020,0,0,Greece,GR
01/03/2020,1,3,2020,3,0,Greece,GR
29/02/2020,29,2,2020,1,0,Greece,GR
28/02/2020,28,2,2020,2,0,Greece,GR
27/02/2020,27,2,2020,1,0,Greece,GR
26/02/2020,26,2,2020,0,0,Greece,GR
25/02/2020,25,2,2020,0,0,Greece,GR
24/02/2020,24,2,2020,0,0,Greece,GR
23/02/2020,23,2,2020,0,0,Greece,GR
22/02/2020,22,2,2020,0,0,Greece,GR
21/02/2020,21,2,2020,0,0,Greece,GR
20/02/2020,20,2,2020,0,0,Greece,GR
19/02/2020,19,2,2020,0,0,Greece,GR
18/02/2020,18,2,2020,0,0,Greece,GR
17/02/2020,17,2,2020,0,0,Greece,GR
16/02/2020,16,2,2020,0,0,Greece,GR
15/02/2020,15,2,2020,0,0,Greece,GR
14/02/2020,14,2,2020,0,0,Greece,GR
13/02/2020,13,2,2020,0,0,Greece,GR
12/02/2020,12,2,2020,0,0,Greece,GR
11/02/2020,11,2,2020,0,0,Greece,GR
10/02/2020,10,2,2020,0,0,Greece,GR
09/02/2020,9,2,2020,0,0,Greece,GR
08/02/2020,8,2,2020,0,0,Greece,GR
07/02/2020,7,2,2020,0,0,Greece,GR
06/02/2020,6,2,2020,0,0,Greece,GR
05/02/2020,5,2,2020,0,0,Greece,GR
04/02/2020,4,2,2020,0,0,Greece,GR
03/02/2020,3,2,2020,0,0,Greece,GR
02/02/2020,2,2,2020,0,0,Greece,GR
01/02/2020,1,2,2020,0,0,Greece,GR
31/01/2020,31,1,2020,0,0,Greece,GR
30/01/2020,30,1,2020,0,0,Greece,GR
29/01/2020,29,1,2020,0,0,Greece,GR
28/01/2020,28,1,2020,0,0,Greece,GR
27/01/2020,27,1,2020,0,0,Greece,GR
26/01/2020,26,1,2020,0,0,Greece,GR
25/01/2020,25,1,2020,0,0,Greece,GR
24/01/2020,24,1,2020,0,0,Greece,GR
23/01/2020,23,1,2020,0,0,Greece,GR
22/01/2020,22,1,2020,0,0,Greece,GR
21/01/2020,21,1,2020,0,0,Greece,GR
20/01/2020,20,1,2020,0,0,Greece,GR
